LatGrid,LonGrid,Count,Gi_star_z,Hotspot_Class
34,-109,14,-1.2160995964854162,Not Significant
34,-108,43,-1.1920558947910385,Not Significant
34,-107,321,-1.1821434758623803,Not Significant
34,-106,92,-1.2218758104739924,Not Significant
34,-105,20,-1.2753718404157026,Not Significant
34,-104,179,-1.2965999933166623,Not Significant
34,-103,34,-1.281834298237122,Not Significant
34,-102,32,-1.2568178469524225,Not Significant
34,-101,105,-1.2402568429901628,Not Significant
34,-100,89,-0.8114624224554476,Not Significant
34,-99,930,-0.23211252660812015,Not Significant
34,-98,1447,0.14873556719618702,Not Significant
34,-97,708,0.23055274577012477,Not Significant
34,-96,610,0.1799594799575643,Not Significant
34,-95,347,-0.26681440648094734,Not Significant
34,-94,784,-0.7176479043989432,Not Significant
34,-93,5398,-0.9410399229480356,Not Significant
34,-92,331,-0.762688310514549,Not Significant
34,-91,234,-0.852930745876131,Not Significant
34,-90,385,-0.9077681761413239,Not Significant
34,-89,386,-0.8995403456707167,Not Significant
34,-88,602,-0.7668838482048153,Not Significant
34,-87,2030,-0.18418942066372115,Not Significant
34,-86,1472,0.23659286026929438,Not Significant
34,-85,3524,0.41684787952217556,Not Significant
34,-84,1723,0.3936975232961165,Not Significant
34,-83,1134,0.310837531052853,Not Significant
34,-82,1831,-0.18039224114801305,Not Significant
34,-81,879,-0.19484900540991834,Not Significant
34,-80,533,-0.21664826520727876,Not Significant
34,-79,554,-0.35734644902307366,Not Significant
34,-78,459,-0.3924928100972671,Not Significant
35,-122,165,0.8801839674328333,Not Significant
35,-121,1072,1.3517432755449121,Not Significant
35,-120,2160,1.745931400799378,Hot Spot (90%)
35,-119,936,1.8738816543146373,Hot Spot (90%)
35,-118,127,1.5770682918191026,Not Significant
35,-117,5,0.7325822005634772,Not Significant
35,-116,10,-0.5560051452203144,Not Significant
35,-115,166,0.14994371042969637,Not Significant
35,-114,66,1.0062183107755907,Not Significant
35,-113,119,1.2622569125554957,Not Significant
35,-112,750,1.132514466789469,Not Significant
35,-111,32,0.8034062121339142,Not Significant
35,-110,53,-0.7357417717893919,Not Significant
35,-109,514,-1.2334031386924078,Not Significant
35,-108,664,-1.1861250298749932,Not Significant
35,-107,2232,-1.222393973711076,Not Significant
35,-106,278,-1.1451816123641854,Not Significant
35,-105,213,-1.0841924735301103,Not Significant
35,-104,238,-1.2209265024717368,Not Significant
35,-103,51,-1.24794455208014,Not Significant
35,-102,2052,-1.3716600781722417,Not Significant
35,-101,98,-1.1555219676635997,Not Significant
35,-100,126,-1.0113332510687787,Not Significant
35,-99,126,-0.7034097502583868,Not Significant
35,-98,5342,-0.5975195238031705,Not Significant
35,-97,435,-0.16240173283667747,Not Significant
35,-96,876,-0.5575144625657664,Not Significant
35,-95,1536,-0.5639469540941494,Not Significant
35,-94,847,-0.7371129974849709,Not Significant
35,-93,1213,-0.7682313081617438,Not Significant
35,-92,506,-0.7936442252003643,Not Significant
35,-91,2354,-0.8892853387718648,Not Significant
35,-90,1005,-1.0231528029513275,Not Significant
35,-89,686,-0.8990450150797059,Not Significant
35,-88,319,-0.7758285407962277,Not Significant
35,-87,1099,-0.22231446492760068,Not Significant
35,-86,1729,-0.0008594311034468472,Not Significant
35,-85,543,0.234528062964385,Not Significant
35,-84,1403,0.20576417381017328,Not Significant
35,-83,2436,0.1775337608342014,Not Significant
35,-82,5895,-0.2617007678535394,Not Significant
35,-81,5415,-0.29094157611383015,Not Significant
35,-80,756,-0.042135710949859136,Not Significant
35,-79,3770,-0.21734730262028354,Not Significant
35,-78,506,0.15830271679424598,Not Significant
35,-77,47,-0.14457718358767657,Not Significant
35,-76,95,-0.12804712574255503,Not Significant
36,-123,301,1.6221799863588904,Not Significant
36,-122,3009,1.041312523323746,Not Significant
36,-121,1743,1.2760661284184986,Not Significant
36,-120,2847,0.7786763652898268,Not Significant
36,-119,238,0.6392039568108617,Not Significant
36,-118,35,0.48439150687148597,Not Significant
36,-116,310,-1.0613776725789457,Not Significant
36,-115,117,-1.3054543571464152,Not Significant
36,-114,258,-1.2456790750881541,Not Significant
36,-113,5,0.14966808955808317,Not Significant
36,-112,22,-0.7957081355928476,Not Significant
36,-111,99,-1.3198557073123238,Not Significant
36,-110,108,-1.274106555226134,Not Significant
36,-109,123,-1.1912265123955987,Not Significant
36,-108,39,-1.0569454036668835,Not Significant
36,-107,169,-0.9178789766244154,Not Significant
36,-106,320,-0.6657952688153732,Not Significant
36,-105,1040,-0.59874235157355,Not Significant
36,-104,3,-1.0795469099855277,Not Significant
36,-103,152,-1.1439578881245973,Not Significant
36,-102,43,-1.2396942753009255,Not Significant
36,-101,110,-1.2464372285858847,Not Significant
36,-100,136,-1.0185588553905496,Not Significant
36,-99,301,-0.8993217172415505,Not Significant
36,-98,1100,-0.7325726162016261,Not Significant
36,-97,1343,-0.5602160018507923,Not Significant
36,-96,1777,-0.6655727006125428,Not Significant
36,-95,1028,-0.6608998808631648,Not Significant
36,-94,581,-0.7865640590674017,Not Significant
36,-93,470,-0.7400900580752577,Not Significant
36,-92,263,-0.8145043899922181,Not Significant
36,-91,594,-0.8523760858994676,Not Significant
36,-90,337,-0.9162564822370498,Not Significant
36,-89,438,-0.8766751055581614,Not Significant
36,-88,490,-0.833745864179498,Not Significant
36,-87,2362,-0.4742834765552781,Not Significant
36,-86,515,-0.5189951440178671,Not Significant
36,-85,528,0.002460891212869574,Not Significant
36,-84,577,-0.3333994279006805,Not Significant
36,-83,438,-0.23556435014794705,Not Significant
36,-82,629,-0.20563409181829143,Not Significant
36,-81,2284,-0.20598174028725724,Not Significant
36,-80,1902,0.26156126623695775,Not Significant
36,-79,992,0.40326575196877823,Not Significant
36,-78,766,0.5870193475693335,Not Significant
36,-77,3498,0.577494211709094,Not Significant
36,-76,46,1.0906403008104424,Not Significant
37,-123,18056,0.5956547719667253,Not Significant
37,-122,7514,1.1460948144086196,Not Significant
37,-121,3116,0.7576803743596792,Not Significant
37,-120,1419,0.23956559216237028,Not Significant
37,-119,921,-0.06934456819276509,Not Significant
37,-118,217,-0.7653431271716161,Not Significant
37,-117,96,-1.2916099370104899,Not Significant
37,-116,34,-1.282679567997398,Not Significant
37,-115,205,-1.2669923568349037,Not Significant
37,-114,358,-1.2958549661389336,Not Significant
37,-113,297,-1.2876070011542164,Not Significant
37,-111,4,-1.2998320889052755,Not Significant
37,-110,41,-1.2059864585715876,Not Significant
37,-109,583,-1.084340207274848,Not Significant
37,-108,1320,-0.7227332124313933,Not Significant
37,-107,682,0.05163313669224314,Not Significant
37,-106,621,0.29338897915350065,Not Significant
37,-105,741,0.26134321859966053,Not Significant
37,-104,140,-0.04840404808182472,Not Significant
37,-103,188,-0.6008033059710407,Not Significant
37,-102,243,-1.2688606339565114,Not Significant
37,-101,531,-1.2658172697360661,Not Significant
37,-100,223,-1.1002415772111094,Not Significant
37,-99,100,-0.9631168354325377,Not Significant
37,-98,2259,-0.8789386013603931,Not Significant
37,-97,414,-0.5519039341128753,Not Significant
37,-96,577,-0.5370849455872904,Not Significant
37,-95,493,-0.6567266363144216,Not Significant
37,-94,565,-0.8259650036217755,Not Significant
37,-93,192,-0.7398909313687124,Not Significant
37,-92,93,-0.9785858001665776,Not Significant
37,-91,58,-0.9316761590915654,Not Significant
37,-90,542,-0.9768714662805149,Not Significant
37,-89,382,-0.6386959644773847,Not Significant
37,-88,586,-0.52447555005868,Not Significant
37,-87,176,-0.11434857680369198,Not Significant
37,-86,620,-0.04647330659597105,Not Significant
37,-85,969,0.026824509179306098,Not Significant
37,-84,539,-0.21381533598828878,Not Significant
37,-83,548,-0.21132541260765952,Not Significant
37,-82,1026,-0.3320240732887246,Not Significant
37,-81,1349,0.12785010787876036,Not Significant
37,-80,2469,0.6326728327717389,Not Significant
37,-79,771,1.1785099377593402,Not Significant
37,-78,6396,1.7831483718928265,Hot Spot (90%)
37,-77,2351,2.3915691691455554,Hot Spot (95%)
37,-76,451,2.8170282256559314,Hot Spot (99%)
38,-124,769,1.1560965450130962,Not Significant
38,-123,5199,1.1133049739768284,Not Significant
38,-122,7443,0.8227629432906117,Not Significant
38,-121,2700,0.6260425569245743,Not Significant
38,-120,901,-0.07607104561828293,Not Significant
38,-119,79,-0.6547956088151199,Not Significant
38,-118,41,-1.090130370573899,Not Significant
38,-117,6,-1.2919753821948206,Not Significant
38,-116,23,-1.292466993502186,Not Significant
38,-115,29,-1.2759478102478037,Not Significant
38,-113,190,-1.2040268372129705,Not Significant
38,-112,49,-1.1893817002670923,Not Significant
38,-111,4,-1.2330480839535438,Not Significant
38,-110,225,-1.1734122730983974,Not Significant
38,-109,412,-1.111195873422754,Not Significant
38,-108,552,-0.4489526130232771,Not Significant
38,-107,635,0.547162536252764,Not Significant
38,-106,679,1.016467861585347,Not Significant
38,-105,5088,0.7833079000191975,Not Significant
38,-104,457,0.45519022213822313,Not Significant
38,-103,433,-0.42455787913710785,Not Significant
38,-102,111,-1.1512689885739307,Not Significant
